experimento,data,commit,diffusers_commit,dataset_hash,seed,rank,learning_rate,max_train_steps,status,checkpoint,hub_url,observacoes
config_a,2026-07-11T05:35:36.009408+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,started,,,Local LoRA; diffusers_commit=01969142b55379991fee07608c9e7e8f80afced0; resume_from_checkpoint=latest; push_to_hub desativado.
config_a,2026-07-11T05:35:36.014994+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,falhou,,,Falha real: FileNotFoundError: [WinError 2] O sistema não pode encontrar o arquivo especificado diffusers_commit=01969142b55379991fee07608c9e7e8f80afced0.
config_a,2026-07-11T07:41:28.553533+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,started,,,LoRA local NVIDIA; resume_from_checkpoint=latest; push_to_hub desativado.
config_a,2026-07-11T07:50:34.591952+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,started,,,LoRA local NVIDIA; resume_from_checkpoint=latest; push_to_hub desativado.
config_a,2026-07-11T08:10:00.758225+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,started,,,LoRA local NVIDIA; resume_from_checkpoint=latest; push_to_hub desativado.
config_a,2026-07-11T08:26:46.680888+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,started,,,LoRA local NVIDIA; resume_from_checkpoint=latest; push_to_hub desativado.
config_a,2026-07-11T10:07:46.616580+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,4,0.0001,1000,concluido,C:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\treino\local\config_a\checkpoint-1000,,Treino local concluido; revisar validacoes antes de publicar no Hub.
config_b,2026-07-11T10:32:48.065264+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,8,5e-05,1500,started,,,LoRA local NVIDIA; resume_from_checkpoint=latest; push_to_hub desativado.
config_b,2026-07-11T13:03:13.233268+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,8,5e-05,1500,concluido,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\treino\local\config_b\checkpoint-1500,,Treino local concluido; revisar validacoes antes de publicar no Hub.
config_b,2026-07-12T02:25:40.657787+00:00,b3a817e9a6ab4f4d9ffb3705c2550be707812837,01969142b55379991fee07608c9e7e8f80afced0,7e34d52d32ae06c83440d8dc176ea7ad472980b1380d1972c297d5ab6dabec31,1337,8,5e-05,1500,publicado_hub,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\treino\local\config_b\checkpoint-1500,https://huggingface.co/RalphError/flpxilobr-lora,Pesos selecionados config_b e model card publicados e verificados no Hub.
